R2_,64.77,10.16,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,114.30,49.53,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,93.98,60.96,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,151.13,46.99,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB1,151.13,49.53,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3_,67.31,7.62,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4_,69.85,12.70,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,36.83,49.53,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,40.64,30.48,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,38.10,30.48,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,35.56,30.48,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,69.85,35.56,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.62,107.19,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.88,107.04,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,100.33,53.34,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,58.89,107.58,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.39,35.56,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.52,107.17,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,149.86,7.61,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.77,7.62,0.00,,SJ
TP1,105.41,5.08,0.00,TPTP20R,TP20R
TP10,83.82,99.06,0.00,TPTP20R,TP20R
TP11,99.06,5.08,0.00,TPTP20R,TP20R
TP12,77.47,99.06,0.00,TPTP20R,TP20R
TP13,5.08,5.08,0.00,TPTP20R,TP20R
TP14,5.08,10.16,0.00,TPTP20R,TP20R
TP15,5.08,15.24,0.00,TPTP20R,TP20R
TP16_,45.72,5.08,0.00,TPTP20R,TP20R
TP17_,52.07,5.08,0.00,TPTP20R,TP20R
TP2,58.42,5.08,0.00,TPTP20R,TP20R
TP3,111.76,5.08,0.00,TPTP20R,TP20R
TP4,11.43,5.08,0.00,TPTP20R,TP20R
TP5,17.78,5.08,0.00,TPTP20R,TP20R
TP6,116.84,5.08,0.00,TPTP20R,TP20R
TP7,135.89,63.50,0.00,TPTP20R,TP20R
TP8,135.89,58.42,0.00,TPTP20R,TP20R
TP9,88.90,99.06,0.00,TPTP20R,TP20R
U1,128.27,46.99,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,16.15,55.88,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U4,137.16,50.80,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,85.09,55.88,90.00,DS3231SN#,SOIC127P1032X265-16N
U6,40.64,58.42,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
